School_ID,Short_Name,Safety_Level,School_Latitude,School_Longitude,Total_Crimes,Total_Thefts,Total_Batteries,Total_Assaults,Total_Robberies,Total_Weapon_Violations,Total_Homicides,ACT_Score,College_Enrollment_Pct,Graduation_Pct,Level
609751,KING HS,2.0,41.813675,-87.603874,2088.0,519.0,410.0,181.0,91.0,19.0,5.0,20.6,82.1,88.5,5.0
610570,OMBUDSMAN - SOUTH HS,2.0,41.783027,-87.683635,2153.0,301.0,515.0,178.0,131.0,51.0,8.0,14.1,12.8,,
609674,CHICAGO VOCATIONAL HS,1.0,41.737174,-87.573268,1083.0,188.0,260.0,85.0,41.0,14.0,3.0,15.6,34.4,76.8,2.0
610566,MAGIC JOHNSON - N LAWNDALE HS,3.0,41.866478,-87.706604,4177.0,462.0,1036.0,361.0,168.0,168.0,23.0,12.9,12.5,,
609691,NORTH-GRAND HS,2.0,41.911674,-87.735238,2330.0,623.0,407.0,169.0,113.0,42.0,6.0,15.9,42.6,79.3,4.0
400142,YCCS - VIRTUAL,,41.876317,-87.674138,1797.0,477.0,318.0,137.0,81.0,14.0,4.0,,18.2,,
609744,NORTHSIDE LEARNING HS,5.0,41.982973,-87.722386,338.0,104.0,55.0,18.0,9.0,2.0,,,0.0,0.0,
400131,YCCS - CAMPOS,2.0,41.90285,-87.69600600000003,2195.0,495.0,404.0,166.0,95.0,27.0,4.0,14.0,19.1,,
610569,OMBUDSMAN - NORTHWEST HS,3.0,42.01717100000001,-87.806682,81.0,22.0,11.0,4.0,2.0,,,15.6,37.8,,
400091,CHICAGO TECH HS,2.0,41.863301,-87.659095,1691.0,446.0,299.0,132.0,67.0,13.0,4.0,15.6,60.0,77.0,3.0
610518,AUSTIN CCA HS,1.0,41.885993,-87.761916,4173.0,585.0,1036.0,329.0,215.0,120.0,21.0,14.6,40.0,77.3,2.0
610568,PATHWAYS - AVONDALE HS,4.0,41.939433,-87.705206,1092.0,350.0,143.0,78.0,45.0,5.0,,14.4,16.7,,
400054,NOBLE - PRITZKER HS,2.0,41.915214,-87.730127,2019.0,454.0,377.0,159.0,102.0,44.0,5.0,21.9,85.7,91.3,5.0
609740,WELLS HS,2.0,41.898995,-87.66748299999998,2261.0,897.0,213.0,115.0,130.0,4.0,6.0,15.4,51.0,75.7,3.0
400118,NOBLE - DRW HS,2.0,41.869328,-87.71165400000002,4549.0,460.0,1083.0,377.0,195.0,164.0,24.0,18.6,,77.7,3.0
609729,SCHURZ HS,2.0,41.946365,-87.735612,987.0,231.0,156.0,70.0,32.0,4.0,1.0,16.4,50.1,74.3,2.0
609737,VON STEUBEN HS,3.0,41.973185,-87.713386,1275.0,343.0,232.0,64.0,86.0,14.0,,21.3,73.4,91.1,5.0
400062,PERSPECTIVES - TECH HS,1.0,41.745949,-87.650657,2786.0,435.0,666.0,271.0,104.0,103.0,13.0,16.5,75.7,80.6,4.0
400128,YCCS - CCA ACADEMY,2.0,41.864943,-87.723662,4536.0,395.0,1110.0,367.0,239.0,176.0,22.0,13.4,6.3,,
400104,INSTITUTO - HEALTH,2.0,41.845967,-87.68724,1329.0,333.0,260.0,115.0,46.0,29.0,4.0,16.7,56.4,85.0,4.0
