,School ID,Year,Composite
557,609711,2012,14.6
558,609711,2013,14.1
559,609711,2014,14.0
560,609711,2015,14.0
561,609711,2016,14.6
562,609712,2001,13.7
563,609712,2002,14.2
564,609712,2003,14.2
565,609712,2004,13.9
566,609712,2005,14.6
567,609712,2006,14.6
568,609712,2008,14.7
569,609712,2009,14.8
570,609712,2010,14.8
571,609712,2011,14.0
572,609712,2012,13.5
573,609712,2013,13.7
574,609712,2014,14.5
575,609712,2015,13.3
576,609712,2016,13.1
577,609768,2001,15.4
578,609768,2002,15.6
579,609768,2003,16.4
580,609768,2004,17.6
581,609768,2005,17.3
582,609768,2006,16.5
583,609768,2007,17.7
584,609768,2008,15.3
585,609768,2009,15.2
586,609768,2010,15.2
587,609768,2011,15.0
588,609768,2012,14.9
589,609768,2013,14.6
590,609768,2014,14.7
591,609768,2015,14.9
592,609768,2016,14.7
593,609741,2001,17.3
594,609741,2002,17.1
595,609741,2003,16.3
596,609741,2004,17.4
597,609741,2005,17.0
598,609741,2006,16.7
599,609741,2007,17.1
600,609741,2008,17.5
601,609741,2009,16.9
602,609741,2010,17.7
603,609741,2011,17.4
604,609741,2012,17.8
605,609741,2013,17.3
606,609741,2014,17.3
607,609741,2015,17.1
608,609741,2016,17.1
609,609713,2001,16.0
610,609713,2002,16.5
611,609713,2003,16.3
612,609713,2004,16.5
613,609713,2005,16.4
614,609713,2006,16.2
615,609713,2007,16.1
616,609713,2008,15.7
617,609713,2009,15.8
618,609713,2010,15.3
619,609713,2011,15.6
620,609713,2012,16.0
621,609713,2013,14.9
622,609713,2014,15.4
623,609713,2015,15.4
624,609713,2016,15.7
625,610384,2008,16.0
626,610384,2009,16.2
627,610384,2010,16.9
628,610384,2011,17.1
629,610384,2012,17.4
630,610384,2013,18.2
631,610384,2014,18.1
632,610384,2015,18.8
633,610384,2016,18.8
634,400104,2013,16.7
635,400104,2014,17.5
636,400104,2015,17.6
637,400104,2016,16.7
638,400148,2013,14.6
639,400148,2014,14.3
640,400148,2015,14.2
641,400148,2016,13.9
642,400164,2014,15.1
643,400164,2016,
644,400162,2016,19.2
645,609783,2001,
646,609783,2002,
647,609783,2003,
648,609783,2004,
649,609783,2005,
650,609783,2010,
651,609783,2011,
652,609783,2013,
653,609783,2014,
654,609783,2015,
655,800011,2015,14.7
656,800011,2016,
657,609678,2001,20.0
658,609678,2002,21.3
659,609678,2003,21.6
660,609678,2004,23.0
661,609678,2005,23.7
662,609678,2006,22.0
663,609678,2007,23.2
664,609678,2008,24.4
665,609678,2009,24.2
666,609678,2010,24.8
667,609678,2011,24.8
668,609678,2012,25.1
669,609678,2013,26.3
670,609678,2014,26.6
671,609678,2015,26.2
672,609678,2016,26.2
673,609764,2001,15.1
674,609764,2002,14.8
675,609764,2003,15.0
676,609764,2004,15.0
677,609764,2005,15.9
678,609764,2006,15.2
679,609764,2007,15.8
680,609764,2008,15.7
681,609764,2009,15.6
682,609764,2010,15.9
683,609764,2011,15.8
684,609764,2012,16.4
685,609764,2013,16.3
686,609764,2014,16.4
687,609764,2015,16.3
